No,OWNER,ADDR,경도,위도
1,(사)한국시스템다이내믹스학회,동작구 흑석로 84,126.958735584816,37.5050350404979
2,(주)삼우크리에이티브로고샵,동작구 흑석로 84 (흑석동),126.958735584816,37.5050350404979
3,1001안경콘택트,동작구 흑석로 106-9,126.961542880175,37.5076967736237
4,BEST당구클럽,동작구 흑석로 111,126.961217061065,37.50855716359
5,GS25 S9흑석역점,동작구 현충로 지하 90 9호선 흑석역 역사내 (흑석동 4) GS25 S9흑석역점,126.963570260368,37.5090850713457
6,GS25 동작현대점,동작구 현충로 151  상가동 B1층 (흑석동 28  한강현대아파트),126.968936312181,37.5067826503945
7,GS25 흑석로점,동작구 흑석로 114 1층 (흑석동 181-19) GS25 흑석로점,126.961523523219,37.5085202534782
8,GS25 흑석캐슬점,동작구 흑석동 232-55번지,126.959466441614,37.5042345205729
9,GS25중대점,"동작구 흑석로 105, 1층 (흑석동 183-5)",126.960934665209,37.5079992884505
10,GS25중대학사점,동작구 흑석로 88 (흑석동 223-18),126.959353670225,37.5070862008904
11,GS25흑석타운점,동작구 서달로14사길 9 (흑석동 43-126),126.965132107323,37.5068466078242
12,GS25흑석푸르지오점,"동작구 흑석한강로 27 (흑석동 336, 한강푸르지오상가106동B205gh)",126.964879899532,37.5030485048847
13,LBA사랑방부동산,동작구 서달로 138 LBA사랑방부동산,126.961143438944,37.5057141338255
14,PB중앙대학교,동작구 흑석로13마길 21 (흑석동),126.959916470331,37.5086694817813
15,가마로,"동작구 서달로 151 (흑석동,1층제1호)",126.961538148348,37.5069756679316
16,강약국,동작구 서달로 158 상가212호,126.962190850431,37.5072726635629
17,경희사,동작구 서달로10길 16 경희사,126.961693136151,37.5059746982147
18,고기사랑 정육식당,동작구 현충로 100-1,126.96473818524,37.5076436946411
19,고은기획,동작구 현충로 152,126.970089669524,37.5055833485721
20,곤지암할매소머리국밥,동작구 서달로12가길 9,126.962686386526,37.5064096176492
21,공감모텔,동작구 서달로14사길 9,126.965132107323,37.5068466078242
22,구립큰별어린이집,동작구 흑석한강로 28 구립큰별어린이집 (흑석동 336-1번지),126.965112530555,37.5046348631083
23,권가네항아리된장족발,동작구 흑석로9길 13,126.95938421388,37.5076564477636
24,그랩커피,동작구 흑석로8길 12,126.959520859428,37.5066520621453
25,김연두내과,동작구 서달로 153,126.961581254893,37.5071774975832
26,김포사,동작구 서달로10길 40,126.962195733901,37.5050147906241
27,까망돌어린이도서관,동작구 흑석한강로 13,126.966571204808,37.5056464708156
28,나라비우동,동작구 흑석로 102,126.96034886114,37.5071526748189
29,나밍밍강아지네,"동작구 서달로 150 (흑석동, 이랜드해가든)",126.962183463169,37.5066259075465
30,낙지한마리수제비,동작구 서달로14길 12(흑석동),126.96371564475,37.5079398388225
31,남서울한의원,동작구 현충로 92,126.964015216873,37.5080764018139
32,내가찜한닭,동작구 흑석로 87,126.959459640551,37.5073953999897
33,네마리무한리필,동작구 서달로12나길 2,126.963059393492,37.5067560822024
34,뉴흑석공인중개사사무소,동작구 서달로 134,126.961106950462,37.5053804658653
35,다이소 흑석점,동작구 서달로 161-1(흑석동),126.962261883305,37.5078183068206
36,단아한의원,동작구 서달로 150,126.962183463169,37.5066259075465
